method,base_score_source,uncertainty_col,lambda,normalization,HR@10,NDCG@10,MRR@10,head_exposure_ratio@10,tail_exposure_ratio@10,long_tail_coverage@10,topk_total_items@10,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_uncertainty_spearman
plain_direct_list_baseline_from_rank_score,plain_rank_score,evidence_risk,0.0,none,1.0,0.6247147027777011,0.5049160671462829,0.2144570058239123,0.37050359712230213,1.0,5838,0.0,0.0,1.0,-0.08038700702815249
plain_direct_list_plus_evidence_risk_rerank,plain_rank_score,evidence_risk,0.0,minmax,1.0,0.6247147027777011,0.5049160671462829,0.2144570058239123,0.37050359712230213,1.0,5838,0.0,0.0,1.0,-0.08038700702815249
plain_direct_list_plus_evidence_risk_rerank,plain_rank_score,evidence_risk,0.05,minmax,1.0,0.6249516850430996,0.5051901336073998,0.2144570058239123,0.37050359712230213,1.0,5838,0.024665981500513873,0.047276464542651594,0.9802672147995889,-0.08038700702815249
plain_direct_list_plus_evidence_risk_rerank,plain_rank_score,evidence_risk,0.1,minmax,1.0,0.6249066452169548,0.5051387461459403,0.2144570058239123,0.37050359712230213,1.0,5838,0.02603631380609798,0.051387461459403906,0.9797190818773552,-0.08038700702815249
plain_direct_list_plus_evidence_risk_rerank,plain_rank_score,evidence_risk,0.2,minmax,1.0,0.6235713879656117,0.5033230558410414,0.2144570058239123,0.37050359712230213,1.0,5838,0.08136348064405619,0.21068859198355602,0.9575196985268929,-0.08038700702815249
plain_direct_list_plus_evidence_risk_rerank,plain_rank_score,evidence_risk,0.5,minmax,1.0,0.6228602561754434,0.5025522439191504,0.2144570058239123,0.37050359712230213,1.0,5838,0.4117848578280233,0.828365878725591,0.7951353203151765,-0.08038700702815249
plain_direct_list_plus_evidence_risk_rerank,plain_rank_score,evidence_risk,0.0,zscore,1.0,0.6247147027777011,0.5049160671462829,0.2144570058239123,0.37050359712230213,1.0,5838,0.0,0.0,1.0,-0.08038700702815249
plain_direct_list_plus_evidence_risk_rerank,plain_rank_score,evidence_risk,0.05,zscore,1.0,0.6249516850430996,0.5051901336073998,0.2144570058239123,0.37050359712230213,1.0,5838,0.024665981500513873,0.047276464542651594,0.9802672147995889,-0.08038700702815249
plain_direct_list_plus_evidence_risk_rerank,plain_rank_score,evidence_risk,0.1,zscore,1.0,0.6245723733818164,0.5046762589928058,0.2144570058239123,0.37050359712230213,1.0,5838,0.025351147653305928,0.048304213771839674,0.9799931483384721,-0.08038700702815249
plain_direct_list_plus_evidence_risk_rerank,plain_rank_score,evidence_risk,0.2,zscore,1.0,0.6258710786068368,0.5064234326824255,0.2144570058239123,0.37050359712230213,1.0,5838,0.040082219938335044,0.09146968139773895,0.9741007194244604,-0.08038700702815249
plain_direct_list_plus_evidence_risk_rerank,plain_rank_score,evidence_risk,0.5,zscore,1.0,0.6236386617860016,0.503631380609798,0.2144570058239123,0.37050359712230213,1.0,5838,0.3927714970880439,0.8314491264131552,0.8107571085988352,-0.08038700702815249
plain_direct_list,reported_day10_full,,,reported,1.0,0.625991869354007,0.5064576909900651,0.2144570058239123,0.3705035971223021,1.0,5838,,,,
evidence_guided_list,reported_day10_full,,,reported,1.0,0.6232808744498345,0.5030147310722851,0.2144570058239123,0.3705035971223021,1.0,5838,,,,
evidence_guided_list_risk_rerank,reported_day10_full,list_prompt_evidence_risk,,reported,1.0,0.6227678122961253,0.5022953066118534,0.2144570058239123,0.3705035971223021,1.0,5838,,,,
day9_pointwise_calibrated_relevance,,,,,1.0,0.60634247868655,0.4810722850291196,0.2144570058239123,0.3705035971223021,1.0,5838,,,,
day9_pointwise_decoupled_rerank,calibrated_relevance_probability,evidence_risk,0.1,zscore,1.0,0.6104305955118822,0.4862624186365193,0.2144570058239123,0.3705035971223021,1.0,5838,0.2334703665638917,0.4922918807810894,0.8750256937307297,-0.045972073634664
