backbone,normalization,lambda,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,hr10_trivial_flag,relative_NDCG_vs_backbone,relative_MRR_vs_backbone
sasrec,minmax,0.05,0.5312784875294954,0.37993333333333335,0.098,0.554,0.3506147936714341,0.5034943269350697,1.0,True,-0.01815068732264973,-0.03201698513800425
sasrec,minmax,0.1,0.5205576154257338,0.36656666666666665,0.09,0.504,0.32030549613571946,0.48849896858601166,1.0,True,-0.03796380069625629,-0.06607218683651812
sasrec,minmax,0.2,0.5027897949410104,0.34413333333333335,0.072,0.452,0.28347247958571903,0.46360700435912805,1.0,True,-0.07080029368475067,-0.1232271762208068
sasrec,minmax,0.5,0.4634729747488874,0.2963,0.06,0.276,0.18004553732857412,0.3872446367077707,1.0,True,-0.14346123100559746,-0.2450955414012739
sasrec,zscore,0.05,0.5402679398912161,0.3915,0.108,0.574,0.3677096697285773,0.5153334367936545,1.0,True,-0.0015373897209633653,-0.0025477707006369447
sasrec,zscore,0.1,0.5362396818175945,0.38633333333333336,0.104,0.562,0.3586622317000057,0.5105927643458169,1.0,True,-0.00898196448487716,-0.01571125265392778
sasrec,zscore,0.2,0.5266459058043171,0.37410000000000004,0.094,0.54,0.3408292151500053,0.4988617452098914,1.0,True,-0.026712105278680495,-0.04687898089171967
sasrec,zscore,0.5,0.507583011027402,0.34996666666666665,0.074,0.472,0.2952580581071478,0.47196229231659986,1.0,True,-0.06194200931900862,-0.10836518046709137
gru4rec,minmax,0.05,0.5015670599620078,0.3438,0.094,0.42,0.2711404133857175,0.45169805376688466,1.0,True,-0.007729792923441589,-0.0141464347161155
gru4rec,minmax,0.1,0.4977175248032776,0.3391333333333334,0.094,0.396,0.25783111585000285,0.44784851860815444,1.0,True,-0.015345482537091766,-0.02752819728541371
gru4rec,minmax,0.2,0.4899590550241911,0.3295333333333333,0.09,0.362,0.23699809930000246,0.43510314820955576,1.0,True,-0.03069437409881927,-0.0550563945708279
gru4rec,minmax,0.5,0.4670990381840969,0.3015666666666667,0.078,0.266,0.17985578521428747,0.3922955288914122,1.0,True,-0.0759192611665866,-0.13525138596826602
gru4rec,zscore,0.05,0.504150037662834,0.3470333333333333,0.096,0.434,0.27940227289286035,0.4542810314677109,1.0,True,-0.0026197846659873456,-0.004874784935958807
gru4rec,zscore,0.1,0.5026191423420735,0.3451666666666667,0.096,0.422,0.2728785538785745,0.45275013614695037,1.0,True,-0.005648416205424107,-0.01022748996367806
gru4rec,zscore,0.2,0.5004521052928069,0.34243333333333337,0.094,0.414,0.2676166943714316,0.4505830990976838,1.0,True,-0.009935552409666058,-0.01806537946855278
gru4rec,zscore,0.5,0.49171047218521297,0.33163333333333334,0.09,0.372,0.2425218183142883,0.43899180849322567,1.0,True,-0.02722947536887433,-0.04903460141464348
bert4rec,minmax,0.05,0.4805596419001428,0.31643333333333334,0.056,0.386,0.2377590084571466,0.41857959134334694,1.0,True,-0.0116368528506217,-0.02174361088211048
bert4rec,minmax,0.1,0.474538871142653,0.30893333333333334,0.052,0.368,0.225449710921432,0.41184640621164115,1.0,True,-0.02401972360233182,-0.04492992580379228
bert4rec,minmax,0.2,0.4644528720784484,0.2966666666666667,0.05,0.312,0.19383111585000284,0.3981983352763563,1.0,True,-0.04476351668871496,-0.08285243198680953
bert4rec,minmax,0.5,0.4414356401053829,0.26870000000000005,0.04,0.22,0.13916508275000206,0.346684528334649,1.0,True,-0.09210287240659165,-0.1693116240725473
bert4rec,zscore,0.05,0.4833533476341447,0.3198666666666667,0.056,0.404,0.24806830599286114,0.422085711451565,1.0,True,-0.00589106075590978,-0.01112943116240723
bert4rec,zscore,0.1,0.4816379484498415,0.31776666666666664,0.056,0.394,0.24228272747143242,0.41965789789304564,1.0,True,-0.009419108449868511,-0.017621599340478272
bert4rec,zscore,0.2,0.4791971789864723,0.31476666666666664,0.056,0.384,0.23597342993571782,0.41721712842967645,1.0,True,-0.014439019357790616,-0.026896125309150993
bert4rec,zscore,0.5,0.46948316540633483,0.30273333333333335,0.05,0.35,0.2141404133857174,0.40465345735267483,1.0,True,-0.034417752893453356,-0.0640972794723825
