domain,backbone,fallback_rate,positive_fallback_rate,best_method,all_users_relative_NDCG,warm_positive_relative_NDCG,cold_positive_relative_NDCG,shuffled_gap,random_gap,fallback_indicator_relative_NDCG,interpretation
movies_small,sasrec,0.41,0.852,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.1352931369969592,0.0627770822506121,0.1491675331005713,0.10878541312632652,0.1100088955256833,-0.0015373897209633,fallback_heavy_caution
movies_small,gru4rec,0.571,0.898,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.1556501651447917,0.0358230719330509,0.1764075889691164,0.11386276271934757,0.11331254205659008,-0.0026197846659873,fallback_heavy_caution
movies_small,bert4rec,0.571,0.898,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.1825082490915114,0.0665255086895632,0.1979846885299754,0.14220893033664447,0.12888294790542032,-0.0058910607559097,fallback_heavy_caution
books_small,sasrec,0.444,0.97,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.39087629127357276,0.17411660956211947,0.3985326812783582,0.3273001505941543,0.3281234632788042,-0.004179956685540241,sample_too_small
books_small,gru4rec,0.6363333333333333,0.98,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.5072397472930421,0.2827382188027994,0.5142273244632958,0.364600419830772,0.38765880980225725,-0.004485083999244922,sample_too_small
books_small,bert4rec,0.6363333333333333,0.98,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.4862530910708334,0.3373477741991948,0.48977249669309647,0.3740006491864962,0.36584775078345344,-0.0037210020653548515,sample_too_small
electronics_small,sasrec,0.48133333333333334,0.948,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.2787196118897867,0.16273525180398302,0.28541821439331305,0.21491771168985654,0.1942560772502901,-0.005837511957356535,sample_too_small
electronics_small,gru4rec,0.6706666666666666,0.968,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.3209887289613602,0.2285109397092746,0.3248839813566875,0.21909081986956733,0.21288248426029374,-0.0016892386028060894,sample_too_small
electronics_small,bert4rec,0.6706666666666666,0.968,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.30767573323002023,0.04931058250566869,0.32346666435783833,0.20165977114924472,0.19403306309785054,-0.0043540721805310195,sample_too_small
