split,metric,before,after
valid,num_samples,1500.0,1500.0
valid,accuracy,0.7253333333333334,0.7253333333333334
valid,avg_confidence,0.558,0.7253333333333334
valid,avg_correctness,0.7253333333333334,0.7253333333333334
valid,brier_score,0.2932866666666667,0.19305204642601803
valid,ece,0.24806666666666663,1.9710159430511944e-16
valid,mce,0.7412698412698413,2.220446049250313e-16
valid,auroc,0.444201527698458,0.5680481689034838
test,num_samples,1500.0,1500.0
test,accuracy,0.7513333333333333,0.7513333333333333
test,avg_confidence,0.5432266666666666,0.71959270813368
test,avg_correctness,0.7513333333333333,0.7513333333333333
test,brier_score,0.3024717333333333,0.18390143500791556
test,ece,0.2765066666666667,0.034391605591810134
test,mce,0.7604651162790698,0.03547462564222681
test,auroc,0.4222532001493918,0.5522169702477098
